stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,on_demand
stop_820_315819,642-1t,"Podgórze SKA","01",50.042438,19.960723,1,,0,,,,,0
stop_820_315829,642-2t,"Podgórze SKA","02",50.04184,19.961425,1,,0,,,,,0
stop_840_317519,702-1t,"Nowy Bieżanów P+R","01",50.015608,20.023053,1,,0,,,,,0
stop_841_317619,584-1t,"Kurdwanów P+R","01",50.01356,19.95042,1,,0,,,,,0
stop_841_317630,584-8t,"Kurdwanów P+R","08",50.01407,19.94809,1,,0,,,,,0
stop_841_317639,584-3t,"Kurdwanów P+R","03",50.01409,19.94783,1,,0,,,,,0
stop_841_317650,584-10t,"Kurdwanów P+R","10",50.01359,19.95044,1,,0,,,,,0
stop_852_324219,801-1t,"Teatr Słowackiego","01",50.064609,19.945628,1,,0,,,,,0
stop_852_324229,801-2t,"Teatr Słowackiego","02",50.064792,19.944409,1,,0,,,,,0
stop_852_324239,801-3t,"Teatr Słowackiego","03",50.064192,19.94499,1,,0,,,,,0
stop_852_324249,801-4t,"Teatr Słowackiego","04",50.065006,19.94518,1,,0,,,,,0
stop_952_331019,711-1t,"Mały Płaszów P+R","01",50.040064,20.001498,1,,0,,,,,0
stop_957_333819,501-1t,"Rondo Grunwaldzkie","01",50.048567,19.930917,1,,0,,,,,0
stop_957_333829,501-2t,"Rondo Grunwaldzkie","02",50.048605,19.931155,1,,0,,,,,0
stop_1058_345919,388-1t,"Bronowice SKA","01",50.081331,19.889698,1,,0,,,,,0
stop_1058_345929,388-2t,"Bronowice SKA","02",50.081524,19.888593,1,,0,,,,,0
stop_1076_317419,214-1t,"Giedroycia","01",50.06462,20.08447,1,,0,,,,,1
stop_1076_317429,214-2t,"Giedroycia","02",50.06473,20.08479,1,,0,,,,,1
stop_1102_347019,817-1t,"św. Gertrudy","01",50.058627,19.940988,1,,0,,,,,0
stop_1102_347029,817-2t,"św. Gertrudy","02",50.058486,19.940838,1,,0,,,,,0
stop_1103_347119,816-1t,"św. Wawrzyńca","01",50.051131,19.951064,1,,0,,,,,0
stop_1103_347129,816-2t,"św. Wawrzyńca","02",50.051415,19.950829,1,,0,,,,,0
stop_1104_347219,885-1t,"M1 al. Pokoju","01",50.065658,19.997488,1,,0,,,,,0
stop_1104_347229,885-2t,"M1 al. Pokoju","02",50.065502,19.996324,1,,0,,,,,0
stop_1105_347319,112-1t,"TAURON Arena Kraków al. Pokoju","01",50.064188,19.988978,1,,0,,,,,0
stop_1105_347329,112-2t,"TAURON Arena Kraków al. Pokoju","02",50.064416,19.990077,1,,0,,,,,0
stop_1234_362119,853-1t,"Muzeum Fotografii","01",50.070486,19.954281,1,,0,,,,,0
stop_1234_362129,853-2t,"Muzeum Fotografii","02",50.070982,19.954592,1,,0,,,,,0
stop_1280_364319,560-1t,"Łagiewniki SKA","01",50.02032,19.9317,1,,0,,,,,0
stop_1280_364329,560-2t,"Łagiewniki SKA","02",50.022103,19.932601,1,,0,,,,,0
stop_1280_364339,560-3t,"Łagiewniki SKA","03",50.02111,19.93288,1,,0,,,,,0
stop_1280_364359,560-5t,"Łagiewniki SKA","05",50.0221,19.93254,1,,0,,,,,0
stop_1342_364619,496-1t,"Sanktuarium Bożego Miłosierdzia","01",50.01777,19.93626,1,,0,,,,,0
stop_1342_364629,496-2t,"Sanktuarium Bożego Miłosierdzia","02",50.01779,19.93633,1,,0,,,,,0
stop_1343_364719,579-1t,"Turowicza","01",50.01506,19.94439,1,,0,,,,,0
stop_1343_364729,579-2t,"Turowicza","02",50.01511,19.94435,1,,0,,,,,0
stop_1486_372419,416-1t,"Krowodrza Górka P+R","01",50.088958,19.932816,1,,0,,,,,0
